name,lat,long,within
Rathkennan,52.62326155,-7.916716439,Kilnamanagh Lower
Kinawley,54.18273823,-7.743598502,Tullyhaw
Kilkeary,52.82853094,-8.087702417,Upper Ormond
Mohill,53.90246632,-7.8900391,Mohill
Uskane,53.00736484,-8.079763305,Lower Ormond
Allsaints,54.99208957,-7.484123933,Raphoe North
Glenkeen,52.75284236,-7.993882921,Kilnamanagh Upper
Killinvoy,53.56402946,-8.079394438,Athlone
Clonmacnoise,53.30614445,-7.950795254,Garrycastle
Raymunterdoney,55.11882632,-8.047265507,Kilmacrenan
Drumreilly,54.12197309,-7.845136699,Drumahaire
Offerlane,53.00979677,-7.570450923,Upperwoods
Clonmult,52.00621274,-8.105350535,Barrymore
Kilfeakle,52.48484968,-8.059463983,Clanwilliam
Mogeely,52.05376615,-8.035945061,Kinatalloon
Saint John's,53.52909879,-8.02438659,Athlone
Donegal,54.69107192,-8.005438946,Tirhugh
Kilmahon,51.84775167,-8.038262446,Imokilly
Clonbullogue,52.4233983,-8.022720302,Clanwilliam
Belleek,54.50435584,-7.992779226,Lurg
Templeree,52.80029381,-7.776732175,Ikerrin
Kilcleagh,53.3738436,-7.804555767,Clonlonan
Kiltoom,53.46960995,-8.018132595,Athlone
Kiltoghert,54.01223075,-8.032203299,Leitrim
Kilcomin,52.95922263,-7.944652317,Clonlisk
Killeagh,51.95045173,-7.994643307,Imokilly
Clonoulty,52.60238638,-8.005161849,Kilnamanagh Lower
Tubbrid,52.33090285,-7.992540925,Iffa and Offa West
Oughterleague,52.54872497,-7.994610391,Kilnamanagh Lower
Relickmurry and Athassel,52.47608502,-7.983009598,Clanwilliam
Cullenwaine,52.89087139,-7.982195668,Clonlisk
Inishmacsaint,54.50097307,-8.200683876,Magheraboy
Killinagh,54.24191447,-7.954312315,Tullyhaw
Kilteevoge,54.82201321,-7.958276469,Raphoe South
Agharra,53.60899396,-7.64208117,Shrule
Borrisnafarney,52.84807263,-7.947938197,Clonlisk
Raymoghy,54.94726929,-7.586312076,Raphoe North
Mevagh,55.15885328,-7.799118448,Kilmacrenan
Tisaran,53.25567257,-7.938836485,Garrycastle
St Peter's (part),53.40482673,-7.979104941,Athlone
Rathdowney,52.85486728,-7.649835683,Clandonagh
Moyaliff,52.66208789,-7.976067391,Kilnamanagh Upper
Templebeg,52.68509417,-8.04088649,Kilnamanagh Upper
Kiltubbrid,54.03719889,-7.95818619,Leitrim
Kilkenny West,53.48762756,-7.851848615,Kilkenny West
Inch,51.82030434,-8.154087846,Eliogarty
Templeport,54.14094935,-7.774514113,Tullyhaw
Ardmayle,52.56800722,-7.92240419,Middlethird
Rathcline,53.6472619,-7.975909179,Rathcline
Convoy,54.86845748,-7.763964198,Raphoe South
Clogher,52.63268737,-7.988552323,Kilnamanagh Lower
Templecarn,54.5111462,-7.886010171,Tirhugh
Ballycahill,52.68858193,-7.899195422,Kilnamanagh Upper
Killashee,53.69519035,-7.903499576,Moydow
Enniskillen,54.38287229,-7.471187493,Tirkennedy
Templemichael,51.77625234,-8.597585957,Coshmore and Coshbride
Saint Patricksrock,52.51198808,-7.872992605,Middlethird
Kilmacrenan,55.05701815,-7.799573619,Kilmacrenan
Dungarvan,52.08885745,-7.638865633,Decies without Drum
Oughteragh,54.07736903,-7.846948133,Carrigallen
Ballybacon,52.26652301,-7.890525034,Iffa and Offa West
Dunkerrin,52.93131463,-7.912086535,Clonlisk
Lemanaghan,53.31779371,-7.763623051,Garrycastle
Termonamongan,54.67278149,-7.751219271,West Omagh
Bourney,52.8849386,-7.800765577,Ikerrin
Conwal,54.94588849,-7.849558531,Kilmacrenan
Kilcommock,53.61571287,-7.828420469,Moydow
Ballymacormick,53.69342076,-7.812718219,Ardagh
Ardfinnan,52.3234423,-7.862626498,Iffa and Offa West
Drumcullen,53.12757973,-7.784413116,Eglish
Thurles,52.68927126,-7.822105819,Eliogarty
Noughaval,53.01427157,-9.167415978,Kilkenny West
Eglish,53.15137942,-7.864393517,Eglish
Aghancon,53.01035645,-7.782454546,Clonlisk
Clashmore,52.00705805,-7.820939951,Decies within Drum
Ettagh,53.00830842,-7.840799505,Clonlisk
Killoughy,53.20700623,-7.625118645,Ballyboy
Drumkeeran,54.55383131,-7.727859725,Lurg
Cloone,53.92132809,-7.778997032,Mohill
Inishlounaght,52.35805903,-7.775515169,Iffa and Offa East
Affane,52.14298234,-7.820316774,Decies without Drum
Magheraculmoney,54.51648109,-7.670153524,Lurg
Roscrea,52.96105657,-7.802196629,Ikerrin
Ardmore,52.01702872,-7.693425232,Decies within Drum
Newchapel,52.39415672,-7.764440181,Iffa and Offa East
Rahelty,52.69671911,-7.754855565,Eliogarty
Seirkieran,53.06278675,-7.790006743,Ballybritt
Ballyboy,53.17536472,-7.726781325,Ballyboy
Lickoran,52.19047989,-7.76776471,Decies without Drum
Devenish,54.3938534,-7.859470462,Magheraboy
Barrettsgrange,52.46800239,-7.731763946,Middlethird
St John Baptist,52.50253613,-7.850819777,Slievardagh
Derryvullan and Islands,54.41305907,-7.6412759,Lurg
Ballyloughloe,53.42322243,-7.794069037,Clonlonan
Lisgenan or Grange,51.9847456,-7.742512446,Decies within Drum
Kilmanaghan,53.36606505,-7.674373992,Kilcoursey
Twomileborris,52.65960054,-7.704956755,Eliogarty
Rathcool,52.49267987,-7.718437183,Middlethird
Rossorry,54.33519668,-7.677676676,Magheraboy
Kinnitty,53.07496244,-7.691959998,Ballybritt
Letterluna,53.11464553,-7.653439175,Ballybritt
Erke,52.81292775,-7.602329041,Galmoy
Aghanunshin,54.97840634,-7.68208509,Kilmacrenan
Killare,53.48129605,-7.620832928,Rathconrath
Clonbroney,53.76146704,-7.636335562,Granard
Clondavaddog,55.20640178,-7.670512632,Kilmacrenan
Ringagonagh,52.050538,-7.603889194,Decies within Drum
Kiltinan,52.43480886,-7.635180437,Middlethird
Tomregan,54.14818421,-7.575149381,Tullyhaw
West Longfield,54.60962573,-7.554049595,West Omagh
Mostrim,53.69773671,-7.582143788,Ardagh
Carrigallen,53.99012748,-7.649354881,Carrigallen
Derrybrusk,54.30293728,-7.554359116,Tirkennedy
Kilcooly,52.65855311,-7.598994345,Slievardagh
