NAME_EN,LATITUDE,LONGITUDE,CO_NAME
Fews Lower,54.2810246663,-6.5582874941,Armagh
Orior Lower,54.3016808325,-6.4288579488,Armagh
Delvin,53.6157475992,-7.0847119952,Westmeath
Burren,53.0757891344,-9.1516705491,Clare
Naas South,53.1392529842,-6.658634241,Kildare
Dunluce Upper,55.0736839269,-6.404421436,
Frenchpark,53.8733219719,-8.4964333842,Roscommon
Slievemargy,52.8620115827,-7.0396205345,
St. Mullin's Upper,52.7126135767,-6.6653628314,Carlow
Stradbally,53.0125412481,-7.1407988968,Laois
Tirerrill,54.1289885534,-8.3551509686,Sligo
Rosclogher,54.379139324,-8.222836411,Leitrim
Antrim Upper,54.7635143357,-6.0787884213,Antrim
Castlereagh,53.7551408235,-8.5147616105,Roscommon
Castlerahan,53.8479608304,-7.1147264492,Cavan
Inishowen West,55.1187105697,-7.3939068915,Donegal
Moydow,53.6602276901,-7.8179538086,Longford
Naas North,53.231289589,-6.6192928223,Kildare
Shrule,53.5807923562,-7.6984397343,Longford
Kilcoursey,53.3636185698,-7.6329823875,Offaly
Barony of Dunkellin,53.225489026,-8.8302375254,Galway
Bantry,51.7503919425,-9.3947556942,Cork
Shelmaliere East,52.3820841036,-6.4599933842,Wexford
Dungannon Upper,54.6444001673,-6.7874095838,Tyrone
Clane,53.2943184905,-6.772408789,Kildare
Magherastephana,54.2995457148,-7.3957911186,Fermanagh
Strabane Lower,54.7948404432,-7.3811114956,Tyrone
Idrone East,52.6662947214,-6.884451149,Carlow
Muskerry West,51.926203193,-9.0839098548,Cork
Omagh West,54.6521919288,-7.6463000907,Tyrone
Glanarought,51.8476999928,-9.5517245341,Kerry
Coshlea,52.3579767182,-8.3941290061,Limerick
Tulla Upper,52.9338832435,-8.6486914381,Clare
Castlereagh Upper,54.4879855058,-5.882904812,
Ballyboy,53.1930858153,-7.6698442832,Offaly
Corkaguiny,52.1870517274,-10.1594651179,Kerry
"Iveagh Upper, Upper Half",54.2236500203,-6.2432786685,Down
Louth,53.9422559215,-6.4916935658,Louth
Carrigallen,54.0266925458,-7.7476227384,Leitrim
Kinnatalloon,52.0605169936,-8.0827050163,Cork
